DATE_IST,OPTICAL_HEALTH,DEVICE_ROWS,NAS_COUNT,AVG_DBM,MIN_DBM,MAX_DBM,OPTICAL_READINGS
2026-06-27,Good,67722,67722,-18.27,-25.00,-8.00,696416
2026-06-27,Poor,15932,15932,-27.00,-40.00,5.00,163808
