TABLE_SCHEMA,TABLE_NAME,SIGNAL_SCORE,MATCHED_COLUMN_COUNT,VALUE_COLUMNS,CONTEXT_COLUMNS,ROW_COUNT,LAST_ALTERED
PUBLIC,DYNAMO_HOME_ROUTER_PLAN_INFO_AUDIT,34,31,,"ENTRY_UNIX_EPOCH_TIME, PLAN_ID, ACCOUNT_ID, PLAN_START_TIME, TIME_PLAN, PLAN_END_TIME, CREATED_TIME, DEVICE_LIMIT, ENTRY_DATE, FIRST_RECHARGE_TIME, CONNECTION, LCO_ACCOUNT_ID, PLAN_INCREASED_IN_SEC, PLAN_AMOUNT, DEVICE_ID",nan,2025-10-08 11:09:35.874000+05:30
PUBLIC,GX_ROUTER_HOURLY_DATA,32,14,"RX_POWER_AVG, RX_POWER_MAX, RX_POWER_MIN","_TIME, DEVICE_ID",8.0,2026-02-26 17:06:25.228000+05:30
PUBLIC,ROUTER_DETAILS,32,13,"tx_power, rx_power","device_id, customer_id, is_customer_active, is_plan_active, added_time, modified_time",323951.0,2026-06-27 10:12:09.903000+05:30
PUBLIC,ROUTER_DETAILS_CLONE,32,14,"tx_power, rx_power","device_id, customer_id, is_customer_active, is_plan_active, added_time, modified_time",322919.0,2026-01-14 17:48:10.078000+05:30
PUBLIC,ROUTER_DETAILS_PRE_MIGRATION,32,14,"tx_power, rx_power","device_id, customer_id, is_customer_active, is_plan_active, added_time, modified_time",323449.0,2026-03-25 13:20:44.731000+05:30
DBT,HOME_ROUTER_TABLE_DE,30,24,,"OTP_ISSUED_TIME, OTP_EXPIRY_TIME, DEVICE_LIMIT, AUTH_STATE, DATA_PLAN, CREATED_BY, SELECTED_PLAN_ID, PLAN_INCREASED_IN_SEC, ROUTER_NAS_ID, CREATED_ON, TIME_PLAN, UPDATED_BY, STATUS",6404354.0,2026-06-27 13:41:47.687000+05:30
DBT,HOURLY_DEVICE_PING_INFLUX,30,4,"OPTICAL_MIN, OPTICAL_AVG, OPTICAL_MAX",DEVICE_ID,165526317.0,2026-06-27 13:41:45.556000+05:30
DBT,T_ROUTER_USER_MAPPING,30,23,,"OTP_ISSUED_TIME, OTP_EXPIRY_TIME, DEVICE_LIMIT, AUTH_STATE, DATA_PLAN, CREATED_BY, SELECTED_PLAN_ID, PLAN_INCREASED_IN_SEC, ROUTER_NAS_ID, CREATED_ON, TIME_PLAN, UPDATED_BY, STATUS",nan,2026-06-27 12:52:34.196000+05:30
PUBLIC,HOURLY_DEVICE_PING_HEALTH_DT_TEST,30,4,"OPTICAL_MIN, OPTICAL_AVG, OPTICAL_MAX",DEVICE_ID,174439791.0,2026-06-27 13:43:35.049000+05:30
PUBLIC,HOURLY_DEVICE_PING_HEALTH_VW,30,4,"OPTICAL_MIN, OPTICAL_AVG, OPTICAL_MAX",DEVICE_ID,nan,2026-01-12 23:52:11.327000+05:30
PUBLIC,ROUTER_DETAILS_AUDIT,30,14,"tx_power, rx_power","device_id, customer_id, is_customer_active, is_plan_active, change_time",35854602.0,2026-06-27 10:01:12.530000+05:30
PUBLIC,ROUTER_DETAILS_AUDIT_BACKUP,30,15,"tx_power, rx_power","device_id, customer_id, is_customer_active, is_plan_active, change_time",30060256.0,2026-03-12 16:00:56.939000+05:30
PUBLIC,ROUTER_DETAILS_AUDIT_CLONE,30,15,"tx_power, rx_power","device_id, customer_id, is_customer_active, is_plan_active, change_time",27092393.0,2026-01-14 17:47:45.373000+05:30
PUBLIC,ROUTER_DETAILS_AUDIT_PRE_MIGRATION,30,15,"tx_power, rx_power","device_id, customer_id, is_customer_active, is_plan_active, change_time",30393198.0,2026-03-25 13:20:43.907000+05:30
PUBLIC,T_ROUTER_USER_MAPPING,30,23,,"OTP_ISSUED_TIME, OTP_EXPIRY_TIME, DEVICE_LIMIT, AUTH_STATE, DATA_PLAN, CREATED_BY, SELECTED_PLAN_ID, PLAN_INCREASED_IN_SEC, ROUTER_NAS_ID, CREATED_ON, TIME_PLAN, UPDATED_BY, STATUS",nan,2026-03-25 19:43:17.313000+05:30
PUBLIC,T_ROUTER_USER_MAPPING_13_JAN_2026_I2E1,30,20,,"ROUTER_NAS_ID, OTP_ISSUED_TIME, OTP_EXPIRY_TIME, DATA_PLAN, AUTH_STATE, CREATED_BY, DEVICE_LIMIT, CREATED_ON, TIME_PLAN, STATUS, UPDATED_BY, SELECTED_PLAN_ID, PLAN_INCREASED_IN_SEC",694406.0,2026-01-14 13:45:35.412000+05:30
PUBLIC,T_ROUTER_USER_MAPPING_13_JAN_2026_SHARD_01,30,20,,"ROUTER_NAS_ID, OTP_ISSUED_TIME, OTP_EXPIRY_TIME, DATA_PLAN, AUTH_STATE, CREATED_BY, DEVICE_LIMIT, CREATED_ON, TIME_PLAN, STATUS, UPDATED_BY, SELECTED_PLAN_ID, PLAN_INCREASED_IN_SEC",1792456.0,2026-01-14 13:45:01.751000+05:30
PUBLIC,T_ROUTER_USER_MAPPING_HOME_ROUTER_TABLE_DE,30,24,,"OTP_ISSUED_TIME, OTP_EXPIRY_TIME, DEVICE_LIMIT, AUTH_STATE, DATA_PLAN, CREATED_BY, SELECTED_PLAN_ID, PLAN_INCREASED_IN_SEC, ROUTER_NAS_ID, CREATED_ON, TIME_PLAN, UPDATED_BY, STATUS",6404583.0,2026-06-27 13:00:10.988000+05:30
PUBLIC,T_ROUTER_USER_MAPPING_HOME_ROUTER_TABLE_DE_PRE_MIGRATION,30,24,,"OTP_ISSUED_TIME, OTP_EXPIRY_TIME, DEVICE_LIMIT, AUTH_STATE, DATA_PLAN, CREATED_BY, SELECTED_PLAN_ID, PLAN_INCREASED_IN_SEC, ROUTER_NAS_ID, CREATED_ON, TIME_PLAN, UPDATED_BY, STATUS",5884818.0,2026-03-23 17:00:18.754000+05:30
PUBLIC,T_ROUTER_USER_MAPPING_I2E1,30,24,,"OTP_ISSUED_TIME, OTP_EXPIRY_TIME, DEVICE_LIMIT, AUTH_STATE, DATA_PLAN, CREATED_BY, SELECTED_PLAN_ID, PLAN_INCREASED_IN_SEC, ROUTER_NAS_ID, CREATED_ON, TIME_PLAN, UPDATED_BY, STATUS",12360048.0,2026-01-13 17:31:32.388000+05:30
PUBLIC,T_ROUTER_USER_MAPPING_PRE_MIGRATION,30,24,,"OTP_ISSUED_TIME, OTP_EXPIRY_TIME, DEVICE_LIMIT, AUTH_STATE, DATA_PLAN, CREATED_BY, SELECTED_PLAN_ID, PLAN_INCREASED_IN_SEC, ROUTER_NAS_ID, CREATED_ON, TIME_PLAN, UPDATED_BY, STATUS",nan,2026-03-23 15:16:59.773000+05:30
PUBLIC,T_ROUTER_USER_MAPPING_SECONDARY_TABLE_DE,30,24,,"OTP_ISSUED_TIME, OTP_EXPIRY_TIME, DEVICE_LIMIT, AUTH_STATE, DATA_PLAN, CREATED_BY, SELECTED_PLAN_ID, PLAN_INCREASED_IN_SEC, ROUTER_NAS_ID, CREATED_ON, TIME_PLAN, UPDATED_BY, STATUS",25543489.0,2026-06-27 13:00:28.880000+05:30
PUBLIC,T_ROUTER_USER_MAPPING_SECONDARY_TABLE_DE_PRE_MIGRATION,30,24,,"OTP_ISSUED_TIME, OTP_EXPIRY_TIME, DEVICE_LIMIT, AUTH_STATE, DATA_PLAN, CREATED_BY, SELECTED_PLAN_ID, PLAN_INCREASED_IN_SEC, ROUTER_NAS_ID, CREATED_ON, TIME_PLAN, UPDATED_BY, STATUS",23480170.0,2026-03-23 17:00:45.194000+05:30
PUBLIC,T_ROUTER_USER_MAPPING_SHARD_01,30,24,,"OTP_ISSUED_TIME, OTP_EXPIRY_TIME, DEVICE_LIMIT, AUTH_STATE, DATA_PLAN, CREATED_BY, SELECTED_PLAN_ID, PLAN_INCREASED_IN_SEC, ROUTER_NAS_ID, CREATED_ON, TIME_PLAN, UPDATED_BY, STATUS",14824796.0,2026-01-13 17:31:52.853000+05:30
DBT,STG_IX_PING_INFLUX,28,5,"OPTICAL_MIN, OPTICAL_AVG, OPTICAL_MAX","DEVICE_ID, DEVICE_FAMILY",nan,2026-06-27 12:52:18.499000+05:30
PUBLIC,NETWORK_SCORECARD,28,5,"RXPOWER, RXPOWER_IN_RANGE, OPTICALPOWER_IN_RANGE","DEVICE_ID, DEVICE_TYPE",6210906.0,2026-03-23 09:11:44.625000+05:30
PUBLIC,HIMANSHU_TEST123,26,4,"OPTICAL_MIN, OPTICAL_AVG, OPTICAL_MAX",DEVICE_ID,331818.0,2026-03-31 11:40:16.129000+05:30
DBT,TASKVANILLA,24,6,"OPTICALPOWER, OPTICAL_POWER_SOURCE","DEVICE_ID, DEVICEID, DEVICE_PHOTO, ROUTER_MAC",725206.0,2026-06-27 12:54:22.208000+05:30
DBT,TASKVANILLA_AUDIT,24,6,"OPTICALPOWER, OPTICAL_POWER_SOURCE","DEVICE_ID, DEVICEID, DEVICE_PHOTO, ROUTER_MAC",21235871.0,2026-06-27 12:51:15.855000+05:30
PUBLIC,COMPLIANCE_PARTNER_SIGNALS,24,15,SIGNAL_CODE,"PARTNER_ACCOUNT_ID, CUSTOMER_COUNT",2221.0,2026-06-27 09:05:54.501000+05:30
PUBLIC,CT_PARTNER_ISP_ROUTER_MV,24,32,,"TIMESTAMP, ACCOUNT_NAME, DEVICE_BRAND, DEVICE_ID, DEVICE_MODEL, DEVICE_NAME, PARTNER_ACCOUNT_ID, PARTNER_PLAN_TYPE, TIMESTAMP_, TIMER_COUNT",2361602.0,2026-06-22 21:08:02.991000+05:30
PUBLIC,ISP_SCORECARD,24,3,"RXPOWER, RXPOWER_IN_RANGE, OPTICALPOWER_IN_RANGE",,136864.0,2025-07-13 14:25:40.254000+05:30
PUBLIC,ISP_SCORECARD_TABLE,24,3,"rxpower, rxpower_in_range, opticalpower_in_range",,0.0,2025-07-13 14:17:20.464000+05:30
PUBLIC,TASKVANILLA,24,6,"OPTICALPOWER, OPTICAL_POWER_SOURCE","DEVICE_ID, DEVICEID, DEVICE_PHOTO, ROUTER_MAC",724660.0,2026-06-27 13:40:37.956000+05:30
PUBLIC,TASKVANILLA_AUDIT,24,6,"OPTICALPOWER, OPTICAL_POWER_SOURCE","DEVICE_ID, DEVICEID, DEVICE_PHOTO, ROUTER_MAC",33385118.0,2026-06-27 13:39:53.970000+05:30
PUBLIC,UDHAM_ROUTER_JOURNEY_POST_RETURN,24,22,,"TRANSITION_DATE, DEVICE_ID, MAC_ID, DEVICE_TYPE, GRN_TIME, PUTWAY_TIME, ORDER_CREATED_TIME, ORDER_PACKED_TIME, ORDER_SHIP_TIME, CURRENT_WAREHOUSE_STATE",41287.0,2026-06-27 06:15:59.670000+05:30
DBT,OPTICAL_OOR_DEVICE_PCT,22,4,,"DATE_IST, OOR_DEVICE_COUNT, TOTAL_DEVICES",nan,2026-06-11 12:08:22.909000+05:30
PUBLIC,COMPLIANCE_SIGNAL_REGISTRY,22,7,SIGNAL_CODE,ADDED_AT,4.0,2026-05-04 12:33:33.435000+05:30
PUBLIC,POWER_BI_CUSTOMER_AND_DEVICES,22,3,,"LIVE_R25_DEVICES, PAYING_DEVICES, ACTIVE_R15_DEVICES",nan,2026-01-20 14:10:30.842000+05:30
PUBLIC,ACTIVE_CUST,20,4,"OPTICAL_POWER_RX, OPTICAL_POWER_TX","DEVICE_ID, DEVICE_TYPE",131735.0,2026-03-23 12:06:38.235000+05:30
DBT,FCT_OPTICAL_OOR_PCT,18,4,,"DATE_IST, OOR_DEVICE_COUNT, TOTAL_DEVICES",89.0,2026-06-27 13:04:30.036000+05:30
PUBLIC,INFLUX_DATA_INTERNET_SUPPLY_DOWN,18,3,"RXPOWER, TXPOWER",DEVICEID,847243.0,2025-12-05 17:05:30.415000+05:30
PUBLIC,INFLUX_DATA_ISP_DUMMY,18,3,"RXPOWER, TXPOWER",DEVICEID,268268.0,2025-11-23 16:49:39.644000+05:30
PUBLIC,INFLUX_DATA_NPS,18,3,"RXPOWER, TXPOWER",DEVICEID,1361382.0,2025-12-16 16:39:20.333000+05:30
PUBLIC,INFLUX_DATA_NPS_02_DEC,18,3,"RXPOWER, TXPOWER",DEVICEID,1601905.0,2025-12-22 12:51:29.602000+05:30
PUBLIC,INFLUX_DATA_NPS_18_DEC,18,3,"RXPOWER, TXPOWER",DEVICEID,1642730.0,2026-01-02 13:18:36.470000+05:30
PUBLIC,INFLUX_DATA_NPS_22_DEC,18,3,"RXPOWER, TXPOWER",DEVICEID,1358540.0,2025-12-22 13:26:27.231000+05:30
PUBLIC,INFLUX_DATA_NPS_26_NOV,18,3,"RXPOWER, TXPOWER",DEVICEID,1606352.0,2025-12-16 16:36:33.907000+05:30
PUBLIC,INFLUX_DATA_TEMP,18,3,"RXPOWER, TXPOWER",DEVICEID,1242834841.0,2026-03-04 10:04:27.144000+05:30
PUBLIC,INFLUX_DATA_TEMP_15M,18,3,"RXPOWER, TXPOWER",DEVICEID,2060609565.0,2026-01-06 18:34:34.312000+05:30
PUBLIC,INFLUX_DATA_TEMP_15M_PIPEDREAM,18,3,"RXPOWER, TXPOWER",DEVICEID,411339.0,2025-12-18 17:05:19.588000+05:30
PUBLIC,INFLUX_DATA_TEMP_NEW_ONE,18,3,"RXPOWER, TXPOWER",DEVICEID,413038273.0,2026-02-24 18:14:01.914000+05:30
PUBLIC,INFLUX_DATA_TEMP_PING_TIME,18,3,"RXPOWER, TXPOWER",DEVICEID,136304.0,2026-01-12 11:41:11.717000+05:30
PUBLIC,INFLUX_DATA_TEMP_PIPEDREAM,18,3,"RXPOWER, TXPOWER",DEVICEID,198000.0,2026-01-02 15:35:08.799000+05:30
PUBLIC,INFLUX_DATA_TEMP_TEST,18,3,"RXPOWER, TXPOWER",DEVICEID,0.0,2026-01-08 19:21:09.366000+05:30
PUBLIC,INFLUX_DATA_TEMP_new_one,18,3,"RXPOWER, TXPOWER",DEVICEID,0.0,2026-01-13 11:16:12.639000+05:30
PUBLIC,INFLUX_PING_EVENTS_RAW,18,3,"RXPOWER, TXPOWER",DEVICEID,1249798093.0,2026-06-27 13:15:02.568000+05:30
PUBLIC,KULDEEP_22_DEC_2025,18,3,"RXPOWER, TXPOWER",DEVICEID,67693171.0,2025-12-22 13:02:52.708000+05:30
PUBLIC,TASK_LOGS_FIX_DE,18,3,"VALUE_RX_POWER, VALUE_TX_POWER",VALUE_DEVICE_ID,0.0,2025-08-21 15:45:23.769000+05:30
PUBLIC,V2_WORK_DEVICE_BONUS,18,7,,"lost_devices, dynamo_lost_devices, device_sla, dynamo_device_percentage, device_bonus, dynamo_device_bonus, device_bonus_mismatch",12439.0,2026-03-02 14:17:55.402000+05:30
PUBLIC,AUTOPAY_PAYMENT_HEALTH_DAILY,16,2,"D1_SIGNAL, SIGNAL",,9.0,2026-06-27 04:51:04.559000+05:30
PUBLIC,B2I_NEW,16,8,,"TAT_SHARED_TO_VALIDATE_ROUTER_MINS, VALIDATE_ROUTER_TIME, TAT_WIFI_TO_DEVICE_READY_MINS, DEVICE_READY_TIME, TAT_DEVICE_READY_TO_CONN_MINS, TAT_CONN_TO_DEVICE_PHOTO_MINS, DEVICE_PHOTO_TIME, TAT_DEVICE_PHOTO_TO_SPEED_TEST_MINS",nan,2026-06-05 00:54:31.408000+05:30
PUBLIC,T_ROUTER_OPERATION,16,17,,"OPERATION_EXPIRY_TIME, OPERATION_START_TIME, ROUTER_NAS_ID, OPERATION_PUBLISH_TIME, STATUS, OPERATION_FINISH_TIME",1693306.0,2026-06-27 12:46:13.983000+05:30
DYNAMODB,ROUTER_OPERATION,14,12,,"DEVICE_ID, OPERATION_PUBLISH_TIME, OPERATION_EXPIRY_TIME, OPERATION_FINISH_TIME, STATUS",7444951.0,2026-06-27 13:38:59.828000+05:30
PUBLIC,CT_PARTNER_BOOKING_TO_INSTALL_MV,14,7,,"DEVICE_MODEL, DEVICE_NAME, DEVICE_BRAND, DEVICE_ID, ISXIAOMIDEVICE, ISANDROIDGODEVICE, ROUTER",28023277.0,2026-06-27 07:08:40.676000+05:30
PUBLIC,TASKVANILLA_AUDIT_HISTORY_BEFORE_2024_02_01,14,4,OPTICALPOWER,"DEVICE_ID, DEVICEID, DEVICE_PHOTO",1167346.0,2026-04-01 16:51:52.915000+05:30
PUBLIC,T_DEVICE_BUILD,14,5,,"MAC, DEVICEPASSWORD, DEVICE_TYPE, ROUTER_NAS_ID, DEVICESTATE",48859.0,2026-06-27 12:46:09.708000+05:30
DBT,STG_IX_ROUTER_LOGS_SPEEDTEST,12,8,,"DEVICE_ID, ADDED_TIME_IST, DATE_IST, LATENCY_MS",nan,2026-06-27 12:49:30.440000+05:30
PUBLIC,CT_TV_TEMP,12,3,WIFI_RSSI_DBM,"DEVICE_ID, DEVICE_PERFORMANCE_TIER",185437.0,2025-11-24 22:44:39.482000+05:30
PUBLIC,PARTNERVANILLA,12,3,OPTICALPOWER,"ELIGIBLEDEVICES, DEVICEID",2438.0,2025-06-05 16:44:38.995000+05:30
PUBLIC,PARTNERVANILLA_AUDIT,12,3,OPTICALPOWER,"ELIGIBLEDEVICES, DEVICEID",7199396.0,2026-06-26 23:42:39.049000+05:30
PUBLIC,T_DEVICE,12,4,,"DEVICE_ID, MAC, SERIAL, DEVICE_TYPE",351050.0,2026-06-27 12:47:13.064000+05:30
PUBLIC,T_DEVICE_AUDIT,12,4,,"DEVICE_ID, MAC, SERIAL, DEVICE_TYPE",nan,2026-05-22 13:40:46.172000+05:30
PUBLIC,T_DEVICE_AUDIT_14_MAY,12,4,,"MAC, DEVICE_ID, SERIAL, DEVICE_TYPE",96655323.0,2026-05-14 19:28:06.071000+05:30
PUBLIC,T_DEVICE_AUDIT_HISTORICAL,12,4,,"DEVICE_TYPE, MAC, DEVICE_ID, SERIAL",96875734.0,2026-03-27 16:42:19.894000+05:30
PUBLIC,T_DEVICE_AUDIT_NEW,12,4,,"MAC, DEVICE_ID, SERIAL, DEVICE_TYPE",96626331.0,2026-03-27 16:45:33.968000+05:30
PUBLIC,T_DEVICE_AUDIT_POST_2026_02_26,12,4,,"DEVICE_ID, MAC, SERIAL, DEVICE_TYPE",650676.0,2026-06-27 13:40:21.678000+05:30
PUBLIC,T_DEVICE_AUDIT_PRE_2026_02_26,12,4,,"DEVICE_ID, MAC, SERIAL, DEVICE_TYPE",95703746.0,2026-05-22 13:36:59.542000+05:30
PUBLIC,T_DEVICE_AUDIT_PRE_MIGRATION,12,4,,"DEVICE_ID, MAC, SERIAL, DEVICE_TYPE",96626331.0,2026-03-23 12:31:44.248000+05:30
PUBLIC,T_DEVICE_PRE_MIGRATION,12,4,,"DEVICE_ID, MAC, SERIAL, DEVICE_TYPE",349281.0,2026-03-23 12:19:51.274000+05:30
DBT,DEVICE_RECOVERY_MODEL,10,3,,"ROUTER_NAS_ID, DEVICE_ID, DEVICE_TYPE",133134.0,2026-06-26 12:48:11.957000+05:30
DYNAMODB,BOOKING,10,2,ONT,DEVICE_ID,5422813.0,2026-06-27 13:40:04.742000+05:30
DYNAMODB,IN_P_INCENTIVE_PROCESSING_SCHEDULE,10,2,OPTICAL_POWER,DEVICE_ID,175281.0,2026-01-18 13:22:29.905000+05:30
PUBLIC,CT_PARTNER_CSP_EVENTS_MV,10,5,,"DEVICE_BRAND, DEVICE_MODEL, DEVICE_NAME, ISANDROIDGODEVICE, ISXIAOMIDEVICE",20073688.0,2026-06-22 20:52:04.019000+05:30
PUBLIC,CT_PARTNER_FPN_MV,10,5,,"DEVICE_BRAND, DEVICE_MODEL, DEVICE_NAME, ISANDROIDGODEVICE, ISXIAOMIDEVICE",2969149.0,2026-06-27 11:56:26.549000+05:30
PUBLIC,DEVICE_RAW_AGG_DOD,10,3,,"DEVICE_TYPE, DEVICE_ID, ROUTERS_AT_WH",71464.0,2026-05-25 03:46:32.233000+05:30
PUBLIC,DEVICE_RAW_AGG_OKR_4A,10,3,,"DEVICE_TYPE, DEVICE_ID, ROUTERS_AT_WH",1058.0,2026-06-27 04:05:02.869000+05:30
PUBLIC,DYNAMODB_BOOKING_TEST_DE,10,2,ONT,DEVICE_ID,365084.0,2025-11-14 15:54:15.016000+05:30
PUBLIC,DYNAMO_BOOKING,10,2,ONT,DEVICE_ID,nan,2025-10-07 17:10:44.470000+05:30
PUBLIC,DYNAMO_BOOKING_AUDIT,10,2,ONT,DEVICE_ID,nan,2025-11-17 16:21:02.510000+05:30
PUBLIC,GX_ROUTER_HOURLY_DATA_STRINGS,10,11,,"_TIME, DEVICE_ID, DATE",7.0,2026-02-26 17:06:25.022000+05:30
PUBLIC,HOLY_GRAIL_DEVICE_DATA,10,3,,"DEVICE_ID, DEVICE_TYPE, DEVICE_CYCLE",294754.0,2025-07-02 19:43:03.897000+05:30
PUBLIC,INT_INVENTORY_MODEL_DEVICES_BASE,10,3,,"DEVICE_ID, DEVICE_TYPE, SERIAL",385000.0,2026-06-27 02:15:05.689000+05:30
PUBLIC,INVENTORY_MODEL_DEVICES_BASE,10,3,,"DEVICE_ID, DEVICE_TYPE, SERIAL",nan,2026-05-28 17:13:32.704000+05:30
PUBLIC,INVENTORY_MODEL_PRE_MIGRATION,10,5,,"DEVICE_ID, MACID, SERIAL, LATEST_ROUTER_RECOVERY_TICKET_ID, LATEST_ROUTER_RECOVERY_TICKET_TIME",573780.0,2026-03-23 15:15:45.204000+05:30
PUBLIC,T_CONTROLLER,10,5,,"ROUTER_NAS_ID, ROUTER_WIFI_MAC, DEVICE_TYPE, DEVICE_MAC, ROUTER_LAN_MAC",nan,2025-11-07 09:35:03.212000+05:30
