TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,DATA_TYPE,ORDINAL_POSITION
DBT,HOME_ROUTER_TABLE_DE,OTP_EXPIRY_TIME,TIMESTAMP_NTZ,4
DBT,HOME_ROUTER_TABLE_DE,ENTRYUNIXEPOCH,NUMBER,5
DBT,HOME_ROUTER_TABLE_DE,DEVICE_LIMIT,NUMBER,6
DBT,HOME_ROUTER_TABLE_DE,MOBILE,TEXT,7
DBT,HOME_ROUTER_TABLE_DE,AUTH_STATE,NUMBER,8
DBT,HOME_ROUTER_TABLE_DE,OTP,TEXT,9
DBT,HOME_ROUTER_TABLE_DE,IS_COMMISSION_ELIGIBLE,BOOLEAN,10
DBT,HOME_ROUTER_TABLE_DE,RECHARGE_ISP,BOOLEAN,11
DBT,HOME_ROUTER_TABLE_DE,DATA_PLAN,NUMBER,12
DBT,HOME_ROUTER_TABLE_DE,CREATED_BY,NUMBER,13
DBT,HOME_ROUTER_TABLE_DE,SELECTED_PLAN_ID,NUMBER,14
DBT,HOME_ROUTER_TABLE_DE,PLAN_INCREASED_IN_SEC,NUMBER,15
DBT,HOME_ROUTER_TABLE_DE,CHARGES,NUMBER,16
DBT,HOME_ROUTER_TABLE_DE,ROUTER_NAS_ID,NUMBER,17
DBT,HOME_ROUTER_TABLE_DE,CREATED_ON,TIMESTAMP_NTZ,18
DBT,HOME_ROUTER_TABLE_DE,EXTRA_DATA,TEXT,19
DBT,HOME_ROUTER_TABLE_DE,STORE_GROUP_ID,NUMBER,20
DBT,HOME_ROUTER_TABLE_DE,TIME_PLAN,NUMBER,21
DBT,HOME_ROUTER_TABLE_DE,UPDATED_BY,NUMBER,22
DBT,HOME_ROUTER_TABLE_DE,STATUS,TEXT,23
DBT,HOME_ROUTER_TABLE_DE,FIVETRAN_SYNCED,TIMESTAMP_TZ,24
DBT,HOURLY_DEVICE_PING_INFLUX,DEVICE_ID,TEXT,2
DBT,HOURLY_DEVICE_PING_INFLUX,OPTICAL_MIN,NUMBER,15
DBT,HOURLY_DEVICE_PING_INFLUX,OPTICAL_AVG,NUMBER,16
DBT,HOURLY_DEVICE_PING_INFLUX,OPTICAL_MAX,NUMBER,17
DBT,HOURLY_USAGE_PRORATED,ROUTERMAC,TEXT,5
DBT,HOURLY_USAGE_PRORATED,TOTAL_CONNECTED_DEVICES_HOURLY,NUMBER,9
DBT,INT_CHURNED,ROUTER_NAS_ID,NUMBER,2
DBT,INT_CUSTOMER_WINDOW,ROUTER_NAS_ID,NUMBER,1
DBT,INT_EARLIEST_START,ROUTER_NAS_ID,NUMBER,1
DBT,INT_IX_COMPANY_B,ROUTER_NAS_ID,NUMBER,1
DBT,INT_IX_DEVICE_PARTNER,ROUTER_NAS_ID,NUMBER,1
DBT,INT_IX_DEVICE_PLAN_SPEED,DEVICE_ID,TEXT,1
DBT,INT_IX_DEVICE_PLAN_SPEED,ROUTER_NAS_ID,NUMBER,2
DBT,INT_IX_DEVICE_RECHARGES,ROUTER_NAS_ID,NUMBER,1
DBT,INT_IX_DEVICE_RECOVERY_TIMES,DEVICE_ID,TEXT,2
DBT,INT_IX_FIRST_PAID_PAYG,ROUTER_NAS_ID,NUMBER,1
DBT,INT_IX_FREE_TRIAL_WINDOW,ROUTER_NAS_ID,NUMBER,1
DBT,INT_IX_LATEST_PLAN,ROUTER_NAS_ID,NUMBER,1
DBT,INT_IX_MIGRATION_BASE,ROUTER_NAS_ID,NUMBER,1
DBT,INT_IX_RECHARGE_RANKED,ROUTER_NAS_ID,NUMBER,1
DBT,INT_IX_SPEEDTEST_DAILY,DEVICE_ID,TEXT,2
