file,service_id,dependency_count,event_count,endpoint_count,flow_count,entity_count,entities
recharge-validator-service-prd-v1.1.yaml,recharge-validator-service,7,8,10,35,21,"recharge_gates, id, connection_id, csp_id, detection_source, recharge_reference_id, window_start, window_end, recharge_period_days, confirmation_timestamp, approaching_emitted, expired_emitted, created_at, updated_at"
recharge-validator-service-prd-v1.2.yaml,recharge-validator-service,7,8,10,35,21,"recharge_gates, id, connection_id, csp_id, detection_source, recharge_reference_id, window_start, window_end, recharge_period_days, confirmation_timestamp, approaching_emitted, expired_emitted, created_at, updated_at"
recharge-validator-service-prd.yaml,recharge-validator-service,7,8,7,35,20,"recharge_gates, id, connection_id, csp_id, detection_source, recharge_reference_id, window_start, window_end, recharge_period_days, confirmation_timestamp, approaching_emitted, expired_emitted, created_at, processed_events"
support-resolution-prd-v1.1.yaml,csp-support-resolution-service,14,40,21,231,9,"complaint, complaint_task, escalation_log, verification_log, processed_events, complaints, complaint_tasks, escalation_logs, verification_logs"
support-resolution-prd-v1.2.yaml,csp-support-resolution-service,14,40,21,231,9,"complaint, complaint_task, escalation_log, verification_log, processed_events, complaints, complaint_tasks, escalation_logs, verification_logs"
support-resolution-prd-v1.3.yaml,csp-support-resolution-service,14,40,26,231,9,"complaint, complaint_task, escalation_log, verification_log, processed_events, complaints, complaint_tasks, escalation_logs, verification_logs"
support-resolution-prd-v1.4.yaml,csp-support-resolution-service,14,40,26,231,9,"complaint, complaint_task, escalation_log, verification_log, processed_events, complaints, complaint_tasks, escalation_logs, verification_logs"
support-resolution-prd-v1.5.yaml,csp-support-resolution-service,14,40,37,231,9,"complaint, complaint_task, escalation_log, verification_log, processed_events, complaints, complaint_tasks, escalation_logs, verification_logs"
support-resolution-prd.yaml,csp-support-resolution-service,11,37,18,231,9,"complaint, complaint_task, escalation_log, verification_log, processed_events, complaints, complaint_tasks, escalation_logs, verification_logs"
tas-service-prd-v2.1.yaml,csp-task-aggregation-service,8,0,3,18,0,
tas-service-prd-v2.2.yaml,csp-task-aggregation-service,8,0,3,18,0,
visibility-prd-v1.1.yaml,csp-visibility-service,17,33,28,137,9,"read_model_projection, change_notice, change_notice_acknowledgment, audit_trail_view, processed_events, read_model_projections, change_notices, change_notice_acknowledgments, audit_trail_entries"
visibility-prd-v1.2.yaml,csp-visibility-service,17,33,28,137,9,"read_model_projection, change_notice, change_notice_acknowledgment, audit_trail_view, processed_events, read_model_projections, change_notices, change_notice_acknowledgments, audit_trail_entries"
visibility-prd.yaml,csp-visibility-service,17,32,26,137,9,"read_model_projection, change_notice, change_notice_acknowledgment, audit_trail_view, processed_events, read_model_projections, change_notices, change_notice_acknowledgments, audit_trail_entries"
