h3_id,eligible_devices,qualifying_events,events_1_to_3_hours,events_over_3_hours,worst_affected_devices,worst_affected_share,longest_event_minutes,latest_event_start_ist,latest_event_end_ist,severity
893da1162a3ffff,10,2,0,2,7,0.7,1530.0,2026-07-05 00:05:00,2026-07-05 16:20:00,over_3_hours
893da11632bffff,10,1,1,0,8,0.8,80.0,2026-07-22 17:50:00,2026-07-22 19:10:00,1_to_3_hours
893da116373ffff,11,1,1,0,8,0.7273,85.0,2026-07-22 17:45:00,2026-07-22 19:10:00,1_to_3_hours
893da116387ffff,5,4,1,3,5,1.0,25070.0,2026-07-14 14:10:00,2026-08-01 00:00:00,over_3_hours
893da11639bffff,11,2,1,1,10,0.9091,420.0,2026-07-21 00:50:00,2026-07-21 07:50:00,over_3_hours
893da11642fffff,48,1,1,0,47,0.9792,145.0,2026-07-14 06:35:00,2026-07-14 09:00:00,1_to_3_hours
893da11645bffff,9,1,1,0,8,0.8889,80.0,2026-07-09 04:45:00,2026-07-09 06:05:00,1_to_3_hours
893da116467ffff,19,1,1,0,17,0.8947,140.0,2026-07-14 01:15:00,2026-07-14 03:35:00,1_to_3_hours
893da11655bffff,6,1,1,0,6,1.0,150.0,2026-07-14 06:35:00,2026-07-14 09:05:00,1_to_3_hours
893da116567ffff,7,2,0,2,7,1.0,18645.0,2026-07-19 01:15:00,2026-08-01 00:00:00,over_3_hours
893da116583ffff,19,1,0,1,19,1.0,195.0,2026-07-11 10:30:00,2026-07-11 13:45:00,over_3_hours
893da1165c7ffff,22,2,2,0,19,0.8636,130.0,2026-07-22 20:05:00,2026-07-22 21:45:00,1_to_3_hours
893da116943ffff,11,1,0,1,8,0.7273,255.0,2026-07-04 08:10:00,2026-07-04 12:25:00,over_3_hours
893da116987ffff,10,1,1,0,7,0.7,140.0,2026-07-22 07:20:00,2026-07-22 09:40:00,1_to_3_hours
893da116bcbffff,9,29,0,29,9,1.0,2220.0,2026-07-31 19:45:00,2026-08-01 00:00:00,over_3_hours
893da116bcfffff,7,2,0,2,5,0.7143,485.0,2026-07-22 02:00:00,2026-07-22 09:15:00,over_3_hours
893da116d0bffff,7,1,1,0,7,1.0,95.0,2026-07-01 05:50:00,2026-07-01 07:25:00,1_to_3_hours
893da116ecbffff,10,30,1,29,9,0.9,1125.0,2026-07-31 20:15:00,2026-08-01 00:00:00,over_3_hours
893da116edbffff,8,18,3,15,7,0.875,860.0,2026-07-31 19:25:00,2026-08-01 00:00:00,over_3_hours
893da11742fffff,7,1,1,0,5,0.7143,125.0,2026-07-15 15:40:00,2026-07-15 17:45:00,1_to_3_hours
893da117437ffff,9,1,1,0,8,0.8889,130.0,2026-07-15 15:35:00,2026-07-15 17:45:00,1_to_3_hours
893da117537ffff,6,1,0,1,6,1.0,265.0,2026-07-19 02:50:00,2026-07-19 07:15:00,over_3_hours
893da117587ffff,15,1,0,1,15,1.0,230.0,2026-07-19 02:45:00,2026-07-19 06:35:00,over_3_hours
893da117593ffff,6,1,1,0,5,0.8333,100.0,2026-07-07 13:30:00,2026-07-07 15:10:00,1_to_3_hours
893da1175a3ffff,32,1,0,1,31,0.9688,235.0,2026-07-19 02:45:00,2026-07-19 06:40:00,over_3_hours
893da1175a7ffff,5,1,0,1,4,0.8,265.0,2026-07-19 02:45:00,2026-07-19 07:10:00,over_3_hours
893da1175abffff,47,1,0,1,43,0.9149,240.0,2026-07-19 02:50:00,2026-07-19 06:50:00,over_3_hours
893da1175afffff,17,1,0,1,15,0.8824,255.0,2026-07-19 02:50:00,2026-07-19 07:05:00,over_3_hours
893da1175b3ffff,15,1,0,1,12,0.8,220.0,2026-07-19 02:50:00,2026-07-19 06:30:00,over_3_hours
893da1175bbffff,61,1,0,1,59,0.9672,225.0,2026-07-19 02:45:00,2026-07-19 06:30:00,over_3_hours
893da11a017ffff,7,1,0,1,6,0.8571,345.0,2026-07-27 15:05:00,2026-07-27 20:50:00,over_3_hours
893da11a03bffff,5,3,1,2,5,1.0,2860.0,2026-07-27 17:30:00,2026-07-29 17:10:00,over_3_hours
893da11a0a7ffff,10,1,0,1,10,1.0,515.0,2026-07-28 01:10:00,2026-07-28 09:45:00,over_3_hours
893da11a0afffff,16,1,0,1,16,1.0,515.0,2026-07-28 01:10:00,2026-07-28 09:45:00,over_3_hours
893da11a157ffff,7,5,2,3,6,0.8571,485.0,2026-07-27 12:40:00,2026-07-27 13:55:00,over_3_hours
893da11a163ffff,6,1,1,0,6,1.0,75.0,2026-07-27 12:40:00,2026-07-27 13:55:00,1_to_3_hours
893da11a167ffff,5,1,1,0,4,0.8,75.0,2026-07-27 12:40:00,2026-07-27 13:55:00,1_to_3_hours
893da11a173ffff,5,1,1,0,5,1.0,75.0,2026-07-27 12:40:00,2026-07-27 13:55:00,1_to_3_hours
893da11a177ffff,11,1,1,0,11,1.0,75.0,2026-07-27 12:40:00,2026-07-27 13:55:00,1_to_3_hours
893da11a1cfffff,7,2,1,1,6,0.8571,1230.0,2026-07-13 18:35:00,2026-07-14 15:05:00,over_3_hours
893da11a1d3ffff,15,1,0,1,14,0.9333,515.0,2026-07-28 01:10:00,2026-07-28 09:45:00,over_3_hours
893da11a1dbffff,28,1,0,1,27,0.9643,515.0,2026-07-28 01:10:00,2026-07-28 09:45:00,over_3_hours
893da11a323ffff,20,1,1,0,14,0.7,70.0,2026-07-08 06:05:00,2026-07-08 07:15:00,1_to_3_hours
893da11a327ffff,15,1,1,0,11,0.7333,75.0,2026-07-08 06:05:00,2026-07-08 07:20:00,1_to_3_hours
893da11a333ffff,33,1,1,0,25,0.7576,70.0,2026-07-08 06:05:00,2026-07-08 07:15:00,1_to_3_hours
893da11a337ffff,15,2,2,0,13,0.8667,75.0,2026-07-08 13:00:00,2026-07-08 14:10:00,1_to_3_hours
893da11a387ffff,5,1,0,1,5,1.0,225.0,2026-07-08 05:55:00,2026-07-08 09:40:00,over_3_hours
893da11a527ffff,5,1,1,0,4,0.8,70.0,2026-07-30 20:25:00,2026-07-30 21:35:00,1_to_3_hours
893da11a56fffff,7,1,0,1,6,0.8571,515.0,2026-07-28 01:10:00,2026-07-28 09:45:00,over_3_hours
893da11ac13ffff,10,1,1,0,7,0.7,70.0,2026-07-23 11:00:00,2026-07-23 12:10:00,1_to_3_hours
893da11ac8bffff,5,1,1,0,5,1.0,80.0,2026-07-23 10:55:00,2026-07-23 12:15:00,1_to_3_hours
893da11acc7ffff,6,2,2,0,5,0.8333,95.0,2026-07-21 06:30:00,2026-07-21 08:05:00,1_to_3_hours
893da11acd7ffff,10,1,1,0,8,0.8,80.0,2026-07-23 10:55:00,2026-07-23 12:15:00,1_to_3_hours
893da131383ffff,7,4,0,4,7,1.0,580.0,2026-07-30 10:50:00,2026-07-30 15:45:00,over_3_hours
893da131433ffff,19,3,1,2,18,0.9474,440.0,2026-07-25 07:25:00,2026-07-25 09:30:00,over_3_hours
893da13159bffff,7,4,1,3,7,1.0,965.0,2026-07-25 07:25:00,2026-07-25 09:35:00,over_3_hours
893da1315d3ffff,11,3,1,2,9,0.8182,440.0,2026-07-25 07:25:00,2026-07-25 09:30:00,over_3_hours
893da138117ffff,6,2,2,0,5,0.8333,80.0,2026-07-27 12:10:00,2026-07-27 13:15:00,1_to_3_hours
893da138c0fffff,5,3,0,3,5,1.0,950.0,2026-07-16 04:30:00,2026-07-16 20:20:00,over_3_hours
893da138cafffff,13,2,1,1,11,0.8462,950.0,2026-07-16 17:35:00,2026-07-17 09:25:00,over_3_hours
893da138d47ffff,12,1,0,1,10,0.8333,720.0,2026-07-08 21:45:00,2026-07-09 09:45:00,over_3_hours
893da138d4fffff,6,1,0,1,5,0.8333,720.0,2026-07-08 21:45:00,2026-07-09 09:45:00,over_3_hours
893da138d83ffff,7,1,1,0,6,0.8571,95.0,2026-07-31 11:35:00,2026-07-31 13:10:00,1_to_3_hours
893da138d93ffff,18,2,2,0,17,0.9444,105.0,2026-07-31 11:35:00,2026-07-31 13:10:00,1_to_3_hours
893da138d9bffff,18,1,1,0,18,1.0,95.0,2026-07-31 11:35:00,2026-07-31 13:10:00,1_to_3_hours
893da138dc3ffff,6,1,1,0,5,0.8333,110.0,2026-07-05 13:20:00,2026-07-05 15:10:00,1_to_3_hours
893da138dd3ffff,15,1,1,0,11,0.7333,95.0,2026-07-31 11:35:00,2026-07-31 13:10:00,1_to_3_hours
893da138dd7ffff,56,2,2,0,49,0.875,105.0,2026-07-31 11:35:00,2026-07-31 13:15:00,1_to_3_hours
893da13a50bffff,7,2,2,0,5,0.7143,175.0,2026-07-23 14:25:00,2026-07-23 17:05:00,1_to_3_hours
893da13aa33ffff,6,7,6,1,5,0.8333,210.0,2026-07-29 12:25:00,2026-07-29 15:55:00,over_3_hours
893da13aa73ffff,5,9,6,3,4,0.8,265.0,2026-07-29 12:25:00,2026-07-29 15:55:00,over_3_hours
893da13aaabffff,17,7,6,1,15,0.8824,210.0,2026-07-29 12:25:00,2026-07-29 15:55:00,over_3_hours
893da13ab17ffff,8,1,1,0,6,0.75,80.0,2026-07-23 13:10:00,2026-07-23 14:30:00,1_to_3_hours
893da13ab6fffff,13,1,1,0,10,0.7692,105.0,2026-07-05 13:20:00,2026-07-05 15:05:00,1_to_3_hours
893da13ababffff,33,1,1,0,26,0.7879,80.0,2026-07-23 13:10:00,2026-07-23 14:30:00,1_to_3_hours
893da13abafffff,10,1,1,0,9,0.9,85.0,2026-07-23 13:10:00,2026-07-23 14:35:00,1_to_3_hours
893da13ac4fffff,5,3,1,2,4,0.8,665.0,2026-07-12 04:05:00,2026-07-12 08:15:00,over_3_hours
893da17708fffff,5,6,2,4,4,0.8,1085.0,2026-07-31 11:20:00,2026-07-31 12:30:00,over_3_hours
893da1770d3ffff,8,6,2,4,8,1.0,1140.0,2026-07-31 11:20:00,2026-07-31 12:35:00,over_3_hours
893da17a99bffff,7,1,1,0,7,1.0,105.0,2026-07-28 02:05:00,2026-07-28 03:50:00,1_to_3_hours
893da17ad27ffff,5,1,1,0,4,0.8,125.0,2026-07-21 10:05:00,2026-07-21 12:10:00,1_to_3_hours
893da180b6fffff,10,1,0,1,10,1.0,395.0,2026-07-29 12:25:00,2026-07-29 19:00:00,over_3_hours
893da1842d3ffff,5,3,1,2,4,0.8,320.0,2026-07-23 01:20:00,2026-07-23 06:40:00,over_3_hours
893da1856cfffff,6,1,0,1,5,0.8333,895.0,2026-07-17 21:20:00,2026-07-18 12:15:00,over_3_hours
893da188b4fffff,55,2,1,1,49,0.8909,220.0,2026-07-08 06:50:00,2026-07-08 10:30:00,over_3_hours
893da188b6bffff,34,3,1,2,34,1.0,715.0,2026-07-08 23:05:00,2026-07-09 11:00:00,over_3_hours
893da188b7bffff,18,2,0,2,16,0.8889,710.0,2026-07-08 23:05:00,2026-07-09 10:55:00,over_3_hours
893da18998fffff,5,1,0,1,5,1.0,375.0,2026-07-08 04:15:00,2026-07-08 10:30:00,over_3_hours
893da189edbffff,9,1,1,0,8,0.8889,165.0,2026-07-22 17:25:00,2026-07-22 20:10:00,1_to_3_hours
893da18a8cbffff,7,1,0,1,7,1.0,540.0,2026-07-27 03:10:00,2026-07-27 12:10:00,over_3_hours
893da18aab7ffff,5,1,0,1,4,0.8,400.0,2026-07-12 00:30:00,2026-07-12 07:10:00,over_3_hours
893da18ae23ffff,11,3,2,1,10,0.9091,290.0,2026-07-26 08:05:00,2026-07-26 09:25:00,over_3_hours
893da18ae27ffff,10,2,2,0,8,0.8,85.0,2026-07-26 08:05:00,2026-07-26 09:30:00,1_to_3_hours
893da18ae2bffff,7,3,2,1,5,0.7143,515.0,2026-07-26 08:05:00,2026-07-26 09:30:00,over_3_hours
893da18ae87ffff,5,2,1,1,4,0.8,455.0,2026-07-08 16:55:00,2026-07-08 18:35:00,over_3_hours
893da18c023ffff,7,1,1,0,5,0.7143,90.0,2026-07-04 07:25:00,2026-07-04 08:55:00,1_to_3_hours
893da18c107ffff,11,1,0,1,10,0.9091,205.0,2026-07-16 17:45:00,2026-07-16 21:10:00,over_3_hours
893da18c10fffff,9,1,0,1,8,0.8889,205.0,2026-07-16 17:45:00,2026-07-16 21:10:00,over_3_hours
893da18c1dbffff,15,1,1,0,13,0.8667,95.0,2026-07-04 07:20:00,2026-07-04 08:55:00,1_to_3_hours
893da18c207ffff,5,2,1,1,5,1.0,270.0,2026-07-14 07:20:00,2026-07-14 11:50:00,over_3_hours
893da18c213ffff,17,2,1,1,15,0.8824,210.0,2026-07-31 16:05:00,2026-07-31 19:35:00,over_3_hours
893da18c21bffff,13,4,3,1,12,0.9231,3435.0,2026-07-29 13:45:00,2026-07-29 15:25:00,over_3_hours
